population,policy,budget,n_invested,port_anr,avg_anr,default_rate_invested
matured_realized,invest_all,1.0,53367,0.01117231409170668,0.009996987051196343,0.1619727546985965
matured_realized,default_scoring,0.25,13342,0.030074824405623056,0.028203088364626615,0.07052915604856844
matured_realized,default_scoring,0.5,26684,0.028935711506053927,0.026112622318803676,0.09683705591365613
matured_realized,default_scoring,0.75,40025,0.02403946243142488,0.020422487567808685,0.12402248594628357
matured_realized,profit_scoring,0.25,13342,0.0406937940902732,0.03853120319038164,0.08551941238195174
matured_realized,profit_scoring,0.5,26684,0.033786897583366164,0.03102143910655436,0.10362014690451207
matured_realized,profit_scoring,0.75,40025,0.025750362965558386,0.022858085322626384,0.12709556527170518
matured_realized,grade_only,0.25,13342,0.016656694002811553,0.013696762393444063,0.07982311497526608
matured_realized,grade_only,0.5,26684,0.017070268221938682,0.015169071457960818,0.10384500074951282
matured_realized,grade_only,0.75,40025,0.016689467849010507,0.013763076095486293,0.12806995627732667
blended_survival_adjusted,invest_all,1.0,53367,0.01117231409170668,0.009996987051196343,0.1619727546985965
blended_survival_adjusted,default_scoring,0.25,13342,0.030074824405623056,0.028203088364626615,0.07052915604856844
blended_survival_adjusted,default_scoring,0.5,26684,0.028935711506053927,0.026112622318803676,0.09683705591365613
blended_survival_adjusted,default_scoring,0.75,40025,0.02403946243142488,0.020422487567808685,0.12402248594628357
blended_survival_adjusted,profit_scoring,0.25,13342,0.0406937940902732,0.03853120319038164,0.08551941238195174
blended_survival_adjusted,profit_scoring,0.5,26684,0.033786897583366164,0.03102143910655436,0.10362014690451207
blended_survival_adjusted,profit_scoring,0.75,40025,0.025750362965558386,0.022858085322626384,0.12709556527170518
blended_survival_adjusted,grade_only,0.25,13342,0.016656694002811553,0.013696762393444063,0.07982311497526608
blended_survival_adjusted,grade_only,0.5,26684,0.017070268221938682,0.015169071457960818,0.10384500074951282
blended_survival_adjusted,grade_only,0.75,40025,0.016689467849010507,0.013763076095486293,0.12806995627732667
