fraction_invested,n_invested,port_anr,avg_anr,total_dollar_return,default_rate_invested,policy
0.010001661640498776,2829,0.031744164465315,0.032098111380335574,2616102.7683365364,0.01519971721456345,default_scoring
0.01999978787568101,5657,0.0314432747662898,0.03140367458581699,5612514.636940742,0.016616581226798658,default_scoring
0.030001449516179782,8486,0.03162913657938253,0.031424069350896804,8659340.330408476,0.018618901720480793,default_scoring
0.03999957575136202,11314,0.0307249856103746,0.030768415967840385,11588042.88000877,0.02112427081491957,default_scoring
0.05000123739186079,14143,0.03029404588366697,0.030079537931363823,14668209.136302028,0.023333097645478328,default_scoring
0.05999936362704302,16971,0.030657407457909795,0.030412450693933574,17928039.98663171,0.024099935183548405,default_scoring
0.0700010252675418,19800,0.030162527238505082,0.030198155906900614,21023954.050778206,0.025808080808080808,default_scoring
0.07999915150272403,22628,0.030102214951528847,0.03002888857196981,24253338.23737694,0.027576453950857345,default_scoring
0.09000081314322281,25457,0.03004780488712245,0.029854291251996127,27409636.04583542,0.029618572494795145,default_scoring
0.09999893937840504,28285,0.03003025284189023,0.02979720445334494,30655152.493953347,0.031005833480643452,default_scoring
0.11000060101890381,31114,0.029459722472419528,0.02935913374466363,33740624.86705632,0.032718390435173876,default_scoring
0.11999872725408604,33942,0.029372682956405355,0.029343268379071124,36934894.990843266,0.03394025101643981,default_scoring
0.13000038889458482,36771,0.02927049007297961,0.029327616323499027,40010442.06353778,0.03524516602757608,default_scoring
0.13999851512976705,39599,0.029043116143251762,0.029114987158267068,43000476.122229055,0.036844364756685774,default_scoring
0.15000017677026584,42428,0.029154007004938462,0.02930923504838652,46185109.30468302,0.03780522296596587,default_scoring
0.15999830300544807,45256,0.029089335419920113,0.02925334313504067,49289994.45274906,0.03871309881562666,default_scoring
0.16999996464594683,48085,0.028879138986690516,0.028961083653814317,52225381.962976746,0.04028283248414266,default_scoring
0.18000162628644562,50914,0.028790837320279455,0.028861308919298705,55201591.43240121,0.04171740582158149,default_scoring
0.18999975252162785,53742,0.028738053324146588,0.02875361336960551,58351681.523484856,0.043094786200736854,default_scoring
0.2000014141621266,56571,0.028641232176618847,0.028784980237825494,61347690.07034293,0.04408619257216595,default_scoring
0.20999954039730884,59399,0.02830480176234107,0.028607640594907627,64073202.08236567,0.04569100489907237,default_scoring
0.22000120203780762,62228,0.02800458377036279,0.028386858138751702,66887378.591761,0.04713312335283152,default_scoring
0.22999932827298986,65056,0.02782938877408852,0.02830957606361325,69794905.88380598,0.048650393507132315,default_scoring
0.24000098991348864,67885,0.02766694556183339,0.028176431180869595,72572712.59871082,0.05006997127495028,default_scoring
0.24999911614867087,70713,0.02773851024271322,0.028261471151683586,75540966.10728666,0.05134840835489938,default_scoring
0.26000077778916963,73542,0.027702355390733124,0.028245350403801158,78595586.45888795,0.052391830518615214,default_scoring
0.2699989040243519,76370,0.02759202146491647,0.02809222561344048,81566098.13078634,0.053751473091528085,default_scoring
0.28000056566485065,79199,0.027465912120902464,0.02801724254369387,84337332.78744054,0.055000694453212796,default_scoring
0.28999869190003286,82027,0.027472354846077646,0.02805955765611222,87415393.25010984,0.056091287015251075,default_scoring
0.3000003535405317,84856,0.02735216605430707,0.027934386535493,90234122.51225424,0.057414914678985574,default_scoring
0.3099984797757139,87684,0.02730662803808937,0.02778627021204156,93122501.49611253,0.058745039003695085,default_scoring
0.32000014141621264,90513,0.02716097634164211,0.027693876424664796,95943352.59886722,0.06020129705125231,default_scoring
0.3299982676513949,93341,0.027106169705272312,0.027676963022027008,98840383.58919758,0.06131282073258268,default_scoring
0.33999992929189365,96170,0.026968756706298162,0.02748541158790907,101643222.04809292,0.06233752729541437,default_scoring
0.35000159093239247,98999,0.02692610834384099,0.02756102924663418,104644103.56630273,0.06337437751896484,default_scoring
0.3599997171675747,101827,0.026877907201972313,0.027465317426714216,107575188.8253639,0.0644131713592662,default_scoring
0.37000137880807343,104656,0.026805063037780557,0.02730819254686191,110324585.92104253,0.06559585690261428,default_scoring
0.3799995050432557,107484,0.026787802832107282,0.027254757307018193,113285101.44188292,0.0667262104127126,default_scoring
0.39000116668375445,110313,0.026653758631267104,0.027182431851258418,116040843.31562136,0.06763482091865873,default_scoring
0.3999992929189367,113141,0.02656288150457173,0.02696678719944396,118813202.27417183,0.06894936406784455,default_scoring
0.41000095455943547,115970,0.02641536875908482,0.02685719055569308,121567848.81736124,0.06980253513839786,default_scoring
0.4199990807946177,118798,0.02617034598515585,0.026626537318679422,124118573.18543091,0.0709607905857001,default_scoring
0.4300007424351165,121627,0.026082144507006105,0.026562988058113534,126855353.52400742,0.07211392207322387,default_scoring
0.4399988686702987,124455,0.025840518315647182,0.026289858143343448,129343923.0905517,0.07335984894138443,default_scoring
0.4500005303107975,127284,0.02574627881563619,0.026164912472359577,132079511.70360154,0.07445554822287169,default_scoring
