population,policy,budget,n_invested,port_anr,avg_anr,default_rate_invested
matured_realized,invest_all,1.0,134793,0.02578610665139633,0.02690700210857249,0.15595765358735245
matured_realized,default_scoring,0.25,33698,0.041861209006213616,0.04215968341524327,0.05893524838269334
matured_realized,default_scoring,0.5,67396,0.040090930623427376,0.040377850976786075,0.08809128138168437
matured_realized,default_scoring,0.75,101095,0.03590070819268994,0.036170368976590504,0.11591077699193827
matured_realized,profit_scoring,0.25,33698,0.04578843369193992,0.04736741161867721,0.09448631966288801
matured_realized,profit_scoring,0.5,67396,0.04117229646568689,0.042525213204719456,0.10488753041723545
matured_realized,profit_scoring,0.75,101095,0.03576476001711134,0.0366607091426608,0.12307235768336713
matured_realized,grade_only,0.25,33698,0.033601825923679586,0.03312586084214786,0.06436583773517716
matured_realized,grade_only,0.5,67396,0.03416020265521312,0.03398116657665683,0.09059884859635586
matured_realized,grade_only,0.75,101095,0.03233337793348144,0.03194886875220345,0.12100499530144913
blended_survival_adjusted,invest_all,1.0,134793,0.02578610665139633,0.02690700210857249,0.15595765358735245
blended_survival_adjusted,default_scoring,0.25,33698,0.041861209006213616,0.04215968341524327,0.05893524838269334
blended_survival_adjusted,default_scoring,0.5,67396,0.040090930623427376,0.040377850976786075,0.08809128138168437
blended_survival_adjusted,default_scoring,0.75,101095,0.03590070819268994,0.036170368976590504,0.11591077699193827
blended_survival_adjusted,profit_scoring,0.25,33698,0.04578843369193992,0.04736741161867721,0.09448631966288801
blended_survival_adjusted,profit_scoring,0.5,67396,0.04117229646568689,0.042525213204719456,0.10488753041723545
blended_survival_adjusted,profit_scoring,0.75,101095,0.03576476001711134,0.0366607091426608,0.12307235768336713
blended_survival_adjusted,grade_only,0.25,33698,0.033601825923679586,0.03312586084214786,0.06436583773517716
blended_survival_adjusted,grade_only,0.5,67396,0.03416020265521312,0.03398116657665683,0.09059884859635586
blended_survival_adjusted,grade_only,0.75,101095,0.03233337793348144,0.03194886875220345,0.12100499530144913
