population,policy,budget,n_invested,port_anr,avg_anr,default_rate_invested
matured_realized,invest_all,1.0,282853,0.005644157226140325,0.005433430055941428,0.14865672274997968
matured_realized,default_scoring,0.25,70713,0.027762078308165662,0.028288449585619622,0.05133426668363667
matured_realized,default_scoring,0.5,141426,0.02496010714778446,0.025229978772069287,0.07997822182625543
matured_realized,default_scoring,0.75,212140,0.018780072410401513,0.01885833006919628,0.10908362402187236
matured_realized,profit_scoring,0.25,70713,0.02917404631631735,0.03096086814883977,0.10091496613069732
matured_realized,profit_scoring,0.5,141426,0.022819170365760078,0.024095559120741555,0.10273217088795554
matured_realized,profit_scoring,0.75,212140,0.01675076272401806,0.017494821234843992,0.11752144810031112
matured_realized,grade_only,0.25,70713,0.024379031571223106,0.0237469855967888,0.05489796784183955
matured_realized,grade_only,0.5,141426,0.021772868730570834,0.021054219213258726,0.08240351844781016
matured_realized,grade_only,0.75,212140,0.016286873046002587,0.015454333207242179,0.11232676534364099
blended_survival_adjusted,invest_all,1.0,373412,-0.08192008343179535,-0.0591313168429145,0.20158698702773345
blended_survival_adjusted,default_scoring,0.25,93353,0.0227565338016827,0.024446577302867426,0.06103713860293724
blended_survival_adjusted,default_scoring,0.5,186706,0.006789685303651936,0.012164872754396075,0.09631720458903302
blended_survival_adjusted,default_scoring,0.75,280059,-0.019773356642496326,-0.008985215024552459,0.13641768341670862
blended_survival_adjusted,profit_scoring,0.25,93353,-0.02771913914269294,-0.008298665159164718,0.12454875579788545
blended_survival_adjusted,profit_scoring,0.5,186706,-0.03052609698256791,-0.013147600315341533,0.12863539468469143
blended_survival_adjusted,profit_scoring,0.75,280059,-0.04496931342897148,-0.025756769575750727,0.15102889034096387
blended_survival_adjusted,grade_only,0.25,93353,0.010872995477426468,0.013364326703504823,0.065311237989138
blended_survival_adjusted,grade_only,0.5,186706,-0.011407665786149311,-0.002903935496766433,0.10430837787751866
blended_survival_adjusted,grade_only,0.75,280059,-0.03739433466662989,-0.02370540638317452,0.14504443706504702
