population,policy,budget,n_invested,port_anr,avg_anr,default_rate_invested
matured_realized,invest_all,1.0,134793,0.02578610665139633,0.02690700210857249,0.15595765358735245
matured_realized,default_scoring,0.25,33698,0.04341845364513646,0.04425383990681136,0.06801590598848596
matured_realized,default_scoring,0.5,67396,0.040586850680716956,0.04079007792825042,0.09315092883850673
matured_realized,default_scoring,0.75,101095,0.035882587477134346,0.035494927445731926,0.11880904100103863
matured_realized,profit_scoring,0.25,33698,0.04552200943612518,0.046432489992692505,0.08593981838684789
matured_realized,profit_scoring,0.5,67396,0.04137926937430662,0.04243831914964421,0.10356697726868064
matured_realized,profit_scoring,0.75,101095,0.03586262303095552,0.0366977138714904,0.12496166971660319
matured_realized,grade_only,0.25,33698,0.033601825923679586,0.03312586084214786,0.06436583773517716
matured_realized,grade_only,0.5,67396,0.03416020265521312,0.03398116657665683,0.09059884859635586
matured_realized,grade_only,0.75,101095,0.03233337793348144,0.03194886875220345,0.12100499530144913
blended_survival_adjusted,invest_all,1.0,134793,0.02578610665139633,0.02690700210857249,0.15595765358735245
blended_survival_adjusted,default_scoring,0.25,33698,0.04341845364513646,0.04425383990681136,0.06801590598848596
blended_survival_adjusted,default_scoring,0.5,67396,0.040586850680716956,0.04079007792825042,0.09315092883850673
blended_survival_adjusted,default_scoring,0.75,101095,0.035882587477134346,0.035494927445731926,0.11880904100103863
blended_survival_adjusted,profit_scoring,0.25,33698,0.04552200943612518,0.046432489992692505,0.08593981838684789
blended_survival_adjusted,profit_scoring,0.5,67396,0.04137926937430662,0.04243831914964421,0.10356697726868064
blended_survival_adjusted,profit_scoring,0.75,101095,0.03586262303095552,0.0366977138714904,0.12496166971660319
blended_survival_adjusted,grade_only,0.25,33698,0.033601825923679586,0.03312586084214786,0.06436583773517716
blended_survival_adjusted,grade_only,0.5,67396,0.03416020265521312,0.03398116657665683,0.09059884859635586
blended_survival_adjusted,grade_only,0.75,101095,0.03233337793348144,0.03194886875220345,0.12100499530144913
