population,policy,budget,n_invested,port_anr,avg_anr,default_rate_invested
matured_realized,invest_all,1.0,282853,0.005644157226140325,0.005433430055941428,0.14865672274997968
matured_realized,default_scoring,0.25,70713,0.03003185307457659,0.03086532402836987,0.06499512112341436
matured_realized,default_scoring,0.5,141426,0.023765570925963087,0.02466959050665067,0.09134105468584278
matured_realized,default_scoring,0.75,212140,0.016387697543762066,0.017065937464969164,0.11631469784104836
matured_realized,profit_scoring,0.25,70713,0.030411384926725616,0.031734718636766836,0.08320959370978462
matured_realized,profit_scoring,0.5,141426,0.02364758465168861,0.024473974739777932,0.10061799103418043
matured_realized,profit_scoring,0.75,212140,0.01622029099085704,0.016777841998610134,0.12036391062505893
matured_realized,grade_only,0.25,70713,0.024379031571223106,0.0237469855967888,0.05489796784183955
matured_realized,grade_only,0.5,141426,0.021772868730570834,0.021054219213258726,0.08240351844781016
matured_realized,grade_only,0.75,212140,0.016286873046002587,0.015454333207242179,0.11232676534364099
blended_survival_adjusted,invest_all,1.0,373412,-0.08323701134501771,-0.06000029193016807,0.20158698702773345
blended_survival_adjusted,default_scoring,0.25,93353,0.026249366622229483,0.027631422400904836,0.07339881953445523
blended_survival_adjusted,default_scoring,0.5,186706,0.011804255850458039,0.01508636851491467,0.10552954913071888
blended_survival_adjusted,default_scoring,0.75,280059,-0.013939361114330867,-0.0056401500365229305,0.14050967831778305
blended_survival_adjusted,profit_scoring,0.25,93353,-0.014395564431907744,0.0023932225073318696,0.10366030015103961
blended_survival_adjusted,profit_scoring,0.5,186706,-0.027809019176066773,-0.010414862028628617,0.12717320278941224
blended_survival_adjusted,profit_scoring,0.75,280059,-0.046294625098816204,-0.026590873647220455,0.1550637544231751
blended_survival_adjusted,grade_only,0.25,93353,0.009984026190001561,0.012692765253857832,0.065311237989138
blended_survival_adjusted,grade_only,0.5,186706,-0.013146420733234332,-0.004088200339665027,0.10430837787751866
blended_survival_adjusted,grade_only,0.75,280059,-0.03977939882149397,-0.025306294831029797,0.14504443706504702
