population,policy,budget,n_invested,port_anr,avg_anr,default_rate_invested
matured_realized,invest_all,1.0,170643,0.02123105721661963,0.02129706625107877,0.14337535087873512
matured_realized,default_scoring,0.25,42661,0.037841695913727075,0.03953799213034983,0.06762616910058367
matured_realized,default_scoring,0.5,85322,0.03518495436275548,0.03629107658681123,0.09022292023159326
matured_realized,default_scoring,0.75,127982,0.03012499025560151,0.030878810531435007,0.11214858339453986
matured_realized,profit_scoring,0.25,42661,0.04155471577184741,0.0428860106893808,0.08354234546775743
matured_realized,profit_scoring,0.5,85322,0.03667092574292965,0.03761353533258431,0.09860293945289608
matured_realized,profit_scoring,0.75,127982,0.030248197134890797,0.031081857081259087,0.11664921629604164
matured_realized,grade_only,0.25,42661,0.029798713956711066,0.02919043985022621,0.05921098895947118
matured_realized,grade_only,0.5,85322,0.03068221943625555,0.03019280169097751,0.0847612573544924
matured_realized,grade_only,0.75,127982,0.027582898432862664,0.026864973573156047,0.11148442749761685
blended_survival_adjusted,invest_all,1.0,221468,-0.06109527735188612,-0.03986965914051691,0.18538118373760543
blended_survival_adjusted,default_scoring,0.25,55367,0.032508626515127925,0.035227960675234975,0.0751530695179439
blended_survival_adjusted,default_scoring,0.5,110734,0.017794142411338133,0.02302113091384363,0.10457492730326728
blended_survival_adjusted,default_scoring,0.75,166101,-0.009096423160630432,0.001879388137208403,0.13663975532958864
blended_survival_adjusted,profit_scoring,0.25,55367,-0.000369066002756472,0.015614455692362278,0.101883793595463
blended_survival_adjusted,profit_scoring,0.5,110734,-0.012426654162273194,0.00451324898398206,0.12086621995051204
blended_survival_adjusted,profit_scoring,0.75,166101,-0.030080642408464694,-0.010829721556743657,0.14547173105520136
blended_survival_adjusted,grade_only,0.25,55367,0.016090402878344286,0.019107295613247102,0.06879549189950693
blended_survival_adjusted,grade_only,0.5,110734,-0.00036069234493078675,0.007848138556354245,0.10325645239944371
blended_survival_adjusted,grade_only,0.75,166101,-0.02513778112972561,-0.011986248608057037,0.13938507293755004
