fraction_invested,n_invested,port_anr,avg_anr,total_dollar_return,default_rate_invested,policy
0.010001661640498776,2829,0.03724747757612674,0.037682029185679186,2832638.81632913,0.018734535171438672,default_scoring
0.01999978787568101,5657,0.036845486161404394,0.03763723914071454,5919836.055202637,0.02121265688527488,default_scoring
0.030001449516179782,8486,0.03549499142246698,0.03630783834679737,8945857.333370453,0.025807211878387932,default_scoring
0.03999957575136202,11314,0.03533149018000195,0.036365039879562244,12192240.1759262,0.028813858935831712,default_scoring
0.05000123739186079,14143,0.03552702631770902,0.036448789950925424,15619345.344944838,0.030969384147634872,default_scoring
0.05999936362704302,16971,0.03485777057931659,0.035687745591118744,18725772.10435376,0.034529491485475225,default_scoring
0.0700010252675418,19800,0.03440658086324958,0.03534225260643041,21883510.268211428,0.03636363636363636,default_scoring
0.07999915150272403,22628,0.03416973336788234,0.03515074479308506,25073228.705173187,0.038359554534205406,default_scoring
0.09000081314322281,25457,0.03433353432228498,0.0350285790979152,28335934.306206923,0.04030325647169737,default_scoring
0.09999893937840504,28285,0.033768820350209894,0.03446358009027122,31358109.552364502,0.04316775676153438,default_scoring
0.11000060101890381,31114,0.03335703693308133,0.034206231164538504,34509803.9702665,0.044802982580188985,default_scoring
0.11999872725408604,33942,0.032636086747690286,0.03350636249500063,37323208.728690535,0.04766955394496494,default_scoring
0.13000038889458482,36771,0.03223807029611854,0.03291027246416941,40467471.117809,0.05009382393734193,default_scoring
0.13999851512976705,39599,0.03236378505978145,0.03307280571051485,43739062.522347055,0.05075885754690775,default_scoring
0.15000017677026584,42428,0.032126241459683104,0.03291284541413769,46983476.63188873,0.05208824361270859,default_scoring
0.15999830300544807,45256,0.03224098262186244,0.03307184698817587,50221487.843724675,0.05305373873077603,default_scoring
0.16999996464594683,48085,0.03188025591040024,0.03274075404550072,53419145.66976373,0.05461162524695851,default_scoring
0.18000162628644562,50914,0.031536302098409116,0.03234462167994828,56369683.57752956,0.056133872805122366,default_scoring
0.18999975252162785,53742,0.031563617842051826,0.032313827279834666,59695736.12385575,0.05716199620408619,default_scoring
0.2000014141621266,56571,0.031152715603872887,0.032074419106316046,62660566.820284836,0.058475190468614664,default_scoring
0.20999954039730884,59399,0.030903771571282095,0.03172843551429724,65593505.287067816,0.06000101011801545,default_scoring
0.22000120203780762,62228,0.03090247806775642,0.031700391082056883,68806799.33792928,0.06121038760686508,default_scoring
0.22999932827298986,65056,0.03048840334945565,0.031222259449522248,71713852.36081998,0.06263834235120512,default_scoring
0.24000098991348864,67885,0.030131553164189816,0.030870796542840594,74616291.77769262,0.064182072622818,default_scoring
0.24999911614867087,70713,0.030033083201894822,0.03086493606328615,77659048.65428741,0.06499512112341436,default_scoring
0.26000077778916963,73542,0.029779042190714918,0.030557419495824266,80736167.9185479,0.06622066302249055,default_scoring
