fraction_invested,n_invested,port_anr,avg_anr,total_dollar_return,default_rate_invested,policy
0.010006183596604643,534,0.03431074037386158,0.0344416273706155,454107.4171136073,0.028089887640449437,default_scoring
0.019993629021680063,1067,0.028144567852149152,0.029444640747514055,861885.1995683708,0.03467666354264293,default_scoring
0.02999981261828471,1601,0.02950563138661526,0.02976883435480754,1407671.9464402543,0.03622735790131168,default_scoring
0.04000599621488935,2135,0.02973656199437663,0.029571474601988616,2049381.2728860602,0.03700234192037471,default_scoring
0.049993441639964775,2668,0.03080456414525555,0.03010238912947802,2657906.739603935,0.03673163418290855,default_scoring
0.05999962523656942,3202,0.031318733271360796,0.02974242741622003,3219561.7072710115,0.038101186758276076,default_scoring
0.07000580883317406,3736,0.030767224687449093,0.02990969947070274,3792240.1018347577,0.039346895074946465,default_scoring
0.07999325425824948,4269,0.03130853330218265,0.03057308930125802,4469368.362893069,0.03958772546263762,default_scoring
0.08999943785485412,4803,0.03319871468113165,0.031660443885380626,5281101.252853775,0.04039142202789923,default_scoring
0.10000562145145876,5337,0.03166668203349688,0.03023538671447255,5894641.684931493,0.044969083754918496,default_scoring
0.10999306687653419,5870,0.03177484795034709,0.03045775195742326,6518156.588507218,0.04718909710391823,default_scoring
0.11999925047313884,6404,0.032334900505452874,0.03052119149849974,7209268.704550413,0.048875702685821365,default_scoring
0.13000543406974346,6938,0.031105636820982732,0.029847628520726244,7782252.730799014,0.05073508215624099,default_scoring
0.1399928794948189,7471,0.031026754449417535,0.029650087137895256,8496626.705037558,0.05260339981260875,default_scoring
0.14999906309142355,8005,0.03043950979319453,0.029013671352445407,9179890.477325536,0.05521549031855091,default_scoring
0.16000524668802818,8539,0.03006924410794529,0.02849186323977971,9908823.082326775,0.057032439395713785,default_scoring
0.1699926921131036,9072,0.03008794302637603,0.02828759865258711,10694061.083729245,0.05886243386243386,default_scoring
0.17999887570970824,9606,0.02900443729078189,0.027103068888961763,11276558.270280335,0.06246096189881324,default_scoring
0.1900050593063129,10140,0.028752872831883124,0.027419399578362574,11915855.913984342,0.06331360946745562,default_scoring
0.1999925047313883,10673,0.02895118844511489,0.027749012426641472,12741445.354629684,0.06464911458821325,default_scoring
0.20999868832799296,11207,0.029129702207426805,0.0277609880681538,13523574.542799871,0.06629784955831176,default_scoring
0.2200048719245976,11741,0.029202565173109513,0.02793465133253502,14255734.116845807,0.06685972234051614,default_scoring
0.22999231734967301,12274,0.029430390277103893,0.02818775786794588,15071396.723638482,0.06786703601108034,default_scoring
0.23999850094627767,12808,0.029739256004367578,0.02820658524101518,15906002.275692081,0.06862898188632105,default_scoring
0.2500046845428823,13342,0.030071281778871247,0.02820012758363502,16686928.82938213,0.07052915604856844,default_scoring
0.25999212996795773,13875,0.030137122145347688,0.028315466698082027,17519553.10858514,0.07106306306306306,default_scoring
0.2699983135645624,14409,0.029935436364532858,0.02802015109530102,18199799.554164007,0.07259351794017628,default_scoring
0.280004497161167,14943,0.02978384861964044,0.027899080007585595,18919412.015243366,0.07354614200629057,default_scoring
0.28999194258624245,15476,0.030025905208034262,0.028034965405348774,19673294.12875165,0.07430860687516154,default_scoring
0.2999981261828471,16010,0.029648040321162847,0.027548507235698107,20326178.436211094,0.07632729544034979,default_scoring
0.3100043097794517,16544,0.029694298592483764,0.02751447396831426,21042733.32985385,0.07712765957446809,default_scoring
0.31999175520452716,17077,0.02941675569546384,0.027379828337001744,21834001.740894355,0.07805820694501377,default_scoring
0.32999793880113176,17611,0.02878145525211594,0.026875818817304838,22473971.934904747,0.07972290045993981,default_scoring
